text,format,module,entity,year,staffel,chars
Amsterdam keerde €5.937.527.912 uit aan 4.551 ontvangers. Den Haag: €2.535.621.355 aan 4.357 ontvangers. #Amsterdam #DenHaag #Gemeentefonds #Gemeenten,comparison,gemeente,Amsterdam vs Den Haag totaal,2018-2024,no,150
Almere keerde €845.236.078 uit aan 528 ontvangers. Tilburg: €830.639.947 aan 2.657 ontvangers. Vijf keer zoveel partijen. #Almere #Tilburg #Gemeentefonds,comparison,gemeente,Almere vs Tilburg ontvangers,2018-2024,no,153
Stichting Artis ontving €57.705.112 van de gemeente Amsterdam. In negen jaar. #Artis #Amsterdam #Dierentuin #Gemeentefonds,concentration,gemeente,Artis,2018-2024,no,122
Stichting Internationaal Theater Amsterdam ontving €81.702.476 van de gemeente. In negen jaar. #ITA #Amsterdam #Theater #Cultuur,concentration,gemeente,Internationaal Theater Amsterdam,2018-2024,no,128
Stichting Sportservice Amsterdam ontving €54.722.864 van de gemeente. In twaalf jaar. #Amsterdam #Sport #Gemeentefonds #Gemeenten,concentration,gemeente,Sportservice Amsterdam,2018-2024,no,129
Openbare Bibliotheek Almere ontving €47.554.050 van de gemeente. In zeven jaar. #Almere #Bibliotheken #Gemeentefonds #Lezen,concentration,gemeente,Bibliotheek Almere,2018-2024,no,123
Chassé Theater Breda ontving €44.782.409 van de gemeente. In acht jaar. #Breda #Theater #Cultuur #Gemeentefonds,concentration,gemeente,Chasse Theater,2018-2024,no,111
Het Groninger Museum ontving €32.261.466 van de gemeente Groningen. In acht jaar. #Groningen #Museum #Cultuur #Gemeentefonds,concentration,gemeente,Groninger Museum,2018-2024,no,124
Het Nederlands Dans Theater ontving €21.467.637 van de gemeente Den Haag. In acht jaar. #NDT #DenHaag #Dans #Cultuur,concentration,gemeente,Nederlands Dans Theater,2018-2024,no,116
Het Frans Hals Museum ontving €21.158.995 van de gemeente Haarlem. In zes jaar. #FransHals #Haarlem #Kunst #Gemeentefonds,concentration,gemeente,Frans Hals Museum,2018-2024,no,121
Stichting Swazoom Kinderopvang ontving €39.720.648 van de gemeente Amsterdam. In elf jaar. #Amsterdam #Kinderopvang #Gemeentefonds,concentration,gemeente,Swazoom,2018-2024,no,130
De Flint Amersfoort ontving €24.005.894 van de gemeente. In zeven jaar. #Amersfoort #Theater #Cultuur #Gemeentefonds,concentration,gemeente,De Flint,2018-2024,no,116
Stichting Museon Den Haag ontving €24.293.712 van de gemeente. In vijf jaar. #Museon #DenHaag #Museum #Gemeentefonds,concentration,gemeente,Museon,2018-2024,no,116
Groningen ontving €846.472.579 aan gemeente-uitkeringen. Almere: €845.236.078. Een verschil van €1.236.501. #Groningen #Almere #Gemeentefonds #Gemeenten,comparison,gemeente,Groningen vs Almere,2018-2024,no,152
Amsterdam keerde uit aan 4.551 ontvangers. Tilburg aan 2.657. Breda aan 1.353. Amersfoort aan 674. #Gemeenten #Gemeentefonds #Ontvangers,comparison,gemeente,Gemeente ontvangeraantallen,2018-2024,no,136
Hoeveel ontving het Bijlmer Parktheater van Amsterdam? €15.671.359. In elf jaar. #Bijlmer #Amsterdam #Theater #Cultuur,curiosity,gemeente,Bijlmer Parktheater,2018-2024,no,118
Het Stichting Amsterdam Museum ontving €83.761.229 van de gemeente. In tien jaar. #Amsterdam #Museum #Cultuur #Gemeentefonds,concentration,gemeente,Amsterdam Museum,2018-2024,no,124
Stichting Bibliotheek Zuid Kennemerland ontving €24.763.668 van de gemeente Haarlem. In zes jaar. #Haarlem #Bibliotheken #Gemeentefonds,concentration,gemeente,Bibliotheek Haarlem,2018-2024,no,135
Hoeveel ontving het Jeugdfonds Sport & Cultuur van Amsterdam? €31.332.010. In tien jaar. #Amsterdam #Jeugd #Sport #Cultuur,curiosity,gemeente,Jeugdfonds Sport Cultuur,2018-2024,no,122
Stichting Stedelijk Museum Breda ontving €31.127.731 van de gemeente. In acht jaar. #Breda #Museum #Cultuur #Gemeentefonds,concentration,gemeente,Stedelijk Museum Breda,2018-2024,no,122
Arnhem ontving €570.495.497 aan gemeente-uitkeringen. Haarlem: €435.306.149. Utrecht: €387.825.177. #Gemeenten #Gemeentefonds #Steden,comparison,gemeente,Arnhem vs Haarlem vs Utrecht,2018-2024,no,133
BAM Bouw en Techniek had zeven jaar op rij inkoopcontracten tussen €100 en €150 miljoen bij BZK. Categorie: gebouwen en terreinen. #BAM #Bouw #Vastgoed #Inkoop,category_reveal,inkoop,BAM Bouw en Techniek,2018-2024,yes,159
Vattenfall Sales had vijf jaar inkoopcontracten tussen €100 en €150 miljoen bij Defensie. Categorie: energie en water. #Vattenfall #Defensie #Energie #Inkoop,category_reveal,inkoop,Vattenfall Sales Defensie,2018-2024,yes,157
Heijmans Utiliteit had inkoopcontracten boven €150 miljoen bij BZK. Categorie: gebouwen en terreinen. #Heijmans #Bouw #Vastgoed #Overheidsuitgaven,concentration,inkoop,Heijmans Utiliteit,2018-2024,yes,146
Synlab Belgium had twee jaar inkoopcontracten tussen €100 en €150 miljoen bij VWS. Categorie: uitbesteding. #Synlab #Zorg #VWS #Inkoop,category_reveal,inkoop,Synlab Belgium,2018-2024,yes,134
NS Reizigers had een inkoopcontract tussen €100 en €150 miljoen bij I&M. Categorie: uitbesteding. #NS #OV #Spoor #Inkoop,category_reveal,inkoop,NS Reizigers inkoop,2018-2024,yes,120
Pompestichting had drie jaar inkoopcontracten tussen €50 en €100 miljoen bij Justitie. Categorie: forensische zorg. #ForensischeZorg #Justitie #GGZ #Inkoop,category_reveal,inkoop,Pompestichting,2018-2024,yes,155
GGzE had drie jaar inkoopcontracten tussen €50 en €100 miljoen bij Justitie. Categorie: forensische zorg. #GGZ #ForensischeZorg #Justitie #Inkoop,category_reveal,inkoop,GGzE,2018-2024,yes,145
Stichting De Rooyse Wissel had drie jaar inkoopcontracten tussen €50 en €100 miljoen bij Justitie. Forensische psychiatrie. #TBS #Justitie #ForensischeZorg,concentration,inkoop,De Rooyse Wissel,2018-2024,yes,155
Komfort B.V. had zes jaar inkoopcontracten tussen €50 en €100 miljoen bij BZK. Categorie: gebouwen en terreinen. #Facility #BZK #Overheid #Inkoop,category_reveal,inkoop,Komfort,2018-2024,yes,145
MEET Strukton had vier jaar inkoopcontracten tussen €50 en €100 miljoen bij BZK. Categorie: gebouwen en terreinen. #Strukton #Facility #Overheid #Inkoop,category_reveal,inkoop,MEET Strukton,2018-2024,yes,152
Mourik Infra had zes jaar inkoopcontracten tussen €50 en €100 miljoen bij I&W. Categorie: infrastructuur. #Mourik #Infra #Rijkswaterstaat #Inkoop,category_reveal,inkoop,Mourik Infra,2018-2024,yes,145
Hoeveel bedrijven leverden aan het Rijk in de categorie representatie? 39.461. Met 78.433 contracten in acht jaar. #Inkoop #Representatie #Overheid,curiosity,inkoop,Representatie categorie,2018-2024,yes,147
31.866 leveranciers leverden in de categorie studie en opleiding. Met 72.047 contracten in acht jaar. #Opleidingen #Inkoop #Overheid #Ambtenaren,category_reveal,inkoop,Studie categorie,2018-2024,yes,144
Hoeveel leveranciers had het Rijk in de categorie forensische zorg? 30.860. In zeven jaar tijd. #ForensischeZorg #Justitie #Inkoop #Overheidsuitgaven,curiosity,inkoop,VenJ categorie,2018-2024,yes,149
19.306 leveranciers in de categorie reis en verblijf. Met 27.565 contracten in acht jaar. #Dienstreizen #Inkoop #Overheid #Reiskosten,category_reveal,inkoop,Reis categorie,2018-2024,yes,133
Defensie besteedde €43.055.300.000 aan apparaatskosten. De grootste kostenpost van alle ministeries. #Defensie #Apparaat #Rijksbegroting #Overheidsuitgaven,scale_shock,apparaat,Defensie totaal,2016-2024,no,155
Het ministerie van Financiën besteedde €30.881.051.000 aan apparaatskosten. In acht jaar. #Financien #Belastingdienst #Rijksbegroting #Apparaat,scale_shock,apparaat,Financien totaal,2016-2024,no,143
Defensie gaf €17.205.513.000 uit aan salarissen in vijf jaar. Financiën: €12.886.721.000 in zeven jaar. #Defensie #Financien #Salarissen #Ambtenaren,comparison,apparaat,Defensie vs Financien salaris,2016-2024,no,148
Defensie besteedde €5.205.610.000 aan pensioenen en uitkeringen voor oud-personeel. In vier jaar. #Defensie #Pensioenen #Militairen #Rijksbegroting,category_reveal,apparaat,Defensie pensioenen,2016-2024,no,147
I&W besteedde €1.143.836.000 aan uitzendkrachten in zeven jaar apparaatskosten. #Rijkswaterstaat #Uitzendkrachten #Inkoop #Overheidsuitgaven,category_reveal,apparaat,IenW uitzendkrachten,2016-2024,no,140
Het ministerie van Financiën besteedde €1.811.123.000 aan ICT-advisering. In acht jaar. #Financien #ICT #DigitaleOverheid #Overheidsuitgaven,category_reveal,apparaat,Financien ICT,2016-2024,no,140
Buitenlandse Zaken besteedde €1.880.313.000 aan salarissen in zes jaar. Plus €1.141.824.000 als zelfstandig ministerie. #BuZa #Diplomatie #Ambtenaren,scale_shock,apparaat,BuZa salarissen,2016-2024,no,149
BZK besteedde €1.341.057.000 aan salarissen in acht jaar. Plus €1.181.267.000 aan SSO-bijdragen. #BZK #Ambtenaren #SSO #Rijksbegroting,comparison,apparaat,BZK salarissen,2016-2024,no,134
Defensie besteedde €2.042.098.000 aan toelagen en vergoedingen in zes jaar. Bovenop de €17 miljard aan salarissen. #Defensie #Toelagen #Militairen,category_reveal,apparaat,Defensie toelagen,2016-2024,no,146
Hoeveel besteedde Defensie aan schoonmaak en nuts? €1.694.987.000. In één jaar. #Defensie #Schoonmaak #Apparaat #Rijksbegroting,curiosity,apparaat,Defensie schoonmaak,2016-2024,no,127
OCW besteedde €3.179.079.000 aan apparaatskosten in elf jaar. Minder dan Defensie in twee jaar. #OCW #Onderwijs #Apparaat #Rijksbegroting,comparison,apparaat,OCW vs Defensie,2016-2024,no,137
Het Noordbrabants Landschap ontving €160.301.815 aan provinciale subsidies van Noord-Brabant. In negen jaar. #NoordBrabant #Natuur #Landschap #Provincies,concentration,provincie,Noordbrabants Landschap,2018-2024,no,153
ProRail ontving €134.590.000 aan provinciale subsidies van Noord-Brabant. In één jaar. #ProRail #NoordBrabant #Spoor #Provincies,scale_shock,provincie,ProRail Noord-Brabant,2018-2024,no,128
Keolis Nederland ontving €105.683.055 aan provinciale subsidies van Utrecht. In twee jaar. #Keolis #OV #Utrecht #OpenbaarVervoer,concentration,provincie,Keolis,2018-2024,no,128
De Nederlandse Gasunie ontving €81.000.000 aan provinciale subsidies van Zuid-Holland. In één jaar. #Gasunie #Energie #ZuidHolland #Provincies,scale_shock,provincie,Gasunie,2018-2024,no,142
Stichting Brabant C. Fonds ontving €78.954.352 aan provinciale subsidies. In vijf jaar. #NoordBrabant #Cultuur #Provincies #Subsidies,concentration,provincie,Brabant C Fonds,2018-2024,no,133
Gemeente Nijmegen ontving €70.288.883 aan provinciale subsidies van Gelderland. In tien jaar. #Nijmegen #Gelderland #Provincies #Gemeenten,concentration,provincie,Gemeente Nijmegen prov,2018-2024,no,138
Safari Resort Vastgoed ontving €61.500.000 aan provinciale subsidies van Noord-Brabant. In twee jaar. #Beeksebergen #NoordBrabant #Recreatie #Provincies,scale_shock,provincie,Safari Resort,2018-2024,no,152
Waterschap De Dommel ontving €61.182.682 aan provinciale subsidies van Noord-Brabant. In negen jaar. #Waterschap #NoordBrabant #Water #Provincies,concentration,provincie,Waterschap De Dommel,2018-2024,no,145
Gemeente Leiden ontving €73.628.987 aan provinciale subsidies van Zuid-Holland. In zeven jaar. #Leiden #ZuidHolland #Provincies #Gemeenten,concentration,provincie,Gemeente Leiden prov,2018-2024,no,138
Het Zeeuwse Landschap ontving €45.676.825 aan provinciale subsidies. In negen jaar. #Zeeland #Natuur #Landschap #Provincies,concentration,provincie,Zeeuwse Landschap,2018-2024,no,123
Stichting Landschap Overijssel ontving €45.101.578 aan provinciale subsidies. In zeven jaar. #Overijssel #Natuur #Landschap #Provincies,concentration,provincie,Landschap Overijssel,2018-2024,no,135
Zuid-Holland ontving €57.022.967 in 2019 aan provinciale subsidies. In 2023: €445.440.445. Bijna acht keer zoveel. #ZuidHolland #Provincies #Subsidies,scale_shock,provincie,Zuid-Holland groei,2019-2023,no,150
Friesland ontving €100.645.803 in 2020 aan provinciale subsidies. In 2023: €372.695.942. Bijna vier keer zoveel. #Friesland #Provincies #Subsidies,scale_shock,provincie,Friesland groei,2020-2023,no,146
Noord-Brabant keerde €803.253.375 uit in 2020. In 2021: €373.330.657. Meer dan gehalveerd in één jaar. #NoordBrabant #Provincies #Subsidies,comparison,provincie,Noord-Brabant YoY,2020-2021,no,139
"Natuurmonumenten ontving €87.730.275 van Gelderland. Plus €104.757.511 van Noord-Brabant. Twee provincies, €192 miljoen. #Natuur #Provincies #Natuurbeheer",comparison,provincie,Natuurmonumenten twee prov,2018-2024,no,154
Maastricht University ontving €48.160.317 aan provinciale subsidies van Limburg. In zeven jaar. #Maastricht #Limburg #Onderwijs #Provincies,concentration,provincie,Maastricht University prov,2018-2024,no,139
Start People had zeven jaar op rij 51 contracten bij publieke uitvoeringsorganisaties. Waarvan één boven €50 miljoen. #Uitzendwerk #COA #Overheidsuitgaven,concentration,publiek,Start People,2018-2024,yes,154
"Gemeente Nijmegen had zeven jaar op rij contracten bij publieke uitvoeringsorganisaties. 49 contracten, waarvan twee boven €50 miljoen. #Nijmegen #COA",concentration,publiek,Gemeente Nijmegen publiek,2018-2024,yes,150
Strukton WorkSphere had zeven jaar op rij 44 contracten bij publieke uitvoeringsorganisaties. Waarvan één boven €25 miljoen. #Strukton #Facility #COA,concentration,publiek,Strukton WorkSphere,2018-2024,yes,149
Jan Snel Livings had zeven jaar op rij 77 contracten bij publieke uitvoeringsorganisaties. Modulaire woningen voor het COA. #JanSnel #COA #Opvang #Bouw,concentration,publiek,Jan Snel Livings,2018-2024,yes,151
"Umami Catering had zeven jaar op rij contracten bij publieke uitvoeringsorganisaties. 17 contracten, waarvan één boven €25 miljoen. #Catering #COA #Opvang",category_reveal,publiek,Umami Catering,2018-2024,yes,154
Menzis COA Administratie had contracten boven €25 miljoen bij publieke uitvoeringsorganisaties. Zorgverzekering voor asielzoekers. #Menzis #COA #Zorg,category_reveal,publiek,Menzis COA,2018-2024,yes,149
Belastingdienst Apeldoorn had zeven jaar op rij contracten bij publieke uitvoeringsorganisaties. Waarvan één boven €100 miljoen. #Belastingdienst #COA,concentration,publiek,Belastingdienst publiek,2018-2024,yes,150
"Gemeente Rotterdam had zeven jaar op rij contracten bij publieke uitvoeringsorganisaties. 22 contracten, waarvan twee boven €25 miljoen. #Rotterdam #COA",concentration,publiek,Gemeente Rotterdam publiek,2018-2024,yes,152
Rijksvastgoedbedrijf had zeven jaar op rij 40 contracten bij publieke uitvoeringsorganisaties. Waarvan één boven €25 miljoen. #RVB #Vastgoed #Overheid,concentration,publiek,Rijksvastgoedbedrijf publiek,2018-2024,yes,150
Hoeveel ontving het Stichting Amsterdam Museum van de gemeente? €83.761.229. In tien jaar. #Amsterdam #Museum #Cultuur #Gemeentefonds,curiosity,gemeente,Amsterdam Museum curiosity,2018-2024,no,133
Hoeveel besteedde het Rijk aan representatie via inkoopcontracten? 78.433 contracten bij 39.461 leveranciers. In acht jaar. #Inkoop #Overheid #Representatie,curiosity,inkoop,Representatie curiosity,2018-2024,yes,156
Hoeveel keerde Amsterdam uit aan sportorganisaties? Sportservice Amsterdam: €54.722.864. SpACe: €19.434.666. Topsport: €11.261.997. #Amsterdam #Sport,curiosity,gemeente,Amsterdam sport totaal,2018-2024,no,149
Hoeveel ontving het RIVM in 2021? €588.674.000. In 2018: €2.023.000. #RIVM #Corona #Volksgezondheid #Overheidsuitgaven,curiosity,instrumenten,RIVM curiosity,2018-2021,no,118
Hoeveel besteedde Defensie aan toelagen bovenop salarissen? €2.042.098.000. In zes jaar. #Defensie #Militairen #Toelagen #Rijksbegroting,curiosity,apparaat,Defensie toelagen curiosity,2016-2024,no,136
Stichting Topsport Amsterdam ontving €11.261.997 van de gemeente. In tien jaar. #Amsterdam #Topsport #Sport #Gemeentefonds,concentration,gemeente,Topsport Amsterdam,2018-2024,no,122
Stichting Haags Historisch Museum ontving €15.745.242 van de gemeente Den Haag. In acht jaar. #DenHaag #Museum #Geschiedenis #Gemeentefonds,concentration,gemeente,Haags Historisch Museum,2018-2024,no,139
Universiteit van Amsterdam ontving €16.372.793 van de gemeente Amsterdam. In acht jaar. #UvA #Amsterdam #Onderwijs #Gemeentefonds,concentration,gemeente,UvA gemeente,2018-2024,no,129
NWO ontving €61.695.000 in 2024 via financiële instrumenten. Plus €794.998.000 in 2017. Wetenschapsfinanciering in golfbewegingen. #NWO #Wetenschap #Onderzoek,scale_shock,instrumenten,NWO 2024,2024,no,158
Ontwikkelingsmaatschappij Oost-Nederland ontving €48.351.762 aan provinciale subsidies van Gelderland. In tien jaar. #Gelderland #Economie #Provincies,concentration,provincie,Oost-Nederland,2018-2024,no,150
Eindhoven Airport ontving €55.000.000 aan provinciale subsidies van Noord-Brabant. In één jaar. #Eindhoven #Luchtvaart #NoordBrabant #Provincies,scale_shock,provincie,Eindhoven Airport,2018-2024,no,144
